Array Size,Threshold[S],Key Comparison
4096000,18,91394518
4096000,19,91394518
4096000,20,91400898
8192000,1,177766999
8192000,2,177766154
8192000,3,178241134
8192000,4,178236741
8192000,5,178239848
8192000,6,178616791
8192000,7,181206318
8192000,8,181205835
8192000,9,181207535
8192000,10,181206736
8192000,11,181210651
8192000,12,181210468
8192000,13,181210584
8192000,14,184499659
8192000,15,190997629
8192000,16,190983714
8192000,17,190982513
8192000,18,190980555
8192000,19,190991756
8192000,20,190983567
10000000,1,220051169
10000000,2,220048245
10000000,3,220169640
10000000,4,221050736
10000000,5,221048530
10000000,6,221051429
10000000,7,221053147
10000000,8,223086474
10000000,9,226351085
10000000,10,226348232
10000000,11,226354230
10000000,12,226345905
10000000,13,226349951
10000000,14,226357412
10000000,15,226346149
10000000,16,226336094
10000000,17,226350620
10000000,18,240902971
10000000,19,242222277
10000000,20,242234037
