Array Size[N],Threshold[S],Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,Average Key Comparison,Worst Time Complexity ,Best Time Complexity
1000,10,9144,9127,9134,9160,9104,9133.8,16643.85619,7643.85619
2500,10,26683,26831,26811,26814,26787,26785.2,44914.46071,22414.46071
5000,10,58661,58339,58459,58447,58467,58474.6,94828.92142,49828.92142
7500,10,89895,89830,89836,89808,89933,89860.4,146630.6009,79130.60089
10000,10,127187,127130,126955,126969,127214,127091,199657.8428,109657.8428
25000,10,339443,339481,339317,339392,339235,339373.6,532192.8095,307192.8095
50000,10,729098,728681,728769,729109,728478,728827,1114385.619,664385.619
75000,10,1164454,1164449,1164495,1163617,1163964,1164195.8,1715450.616,1040450.616
1000000,10,19067907,19067321,19066041,19066265,19065473,19066601.4,26609640.47,17609640.47
2500000,10,51585913,51588327,51591794,51587558,51587975,51588313.4,69828921.42,47328921.42
5000000,10,108172688,108176700,108173010,108179884,108176228,108175702,144657842.8,99657842.85
7500000,10,164363890,164351209,164362217,164363641,164361860,164360563.4,221373983,153873983
10000000,10,226343900,226354966,226341245,226351494,226346419,226347604.8,299315685.7,209315685.7
