Array Size(N),Threshold(S),Key Comparison 1, Key Comparison 2, Key Comparison 3, Key Comparison 4, Key Comparison 5,Average Key Comparison,Array Size(N=1000),Array Size(N=2500),Array Size(N=5000),Array Size(N=7500),Array Size(N=10000),Array Size(N=25000),Array Size(N=50000),Array Size(N=75000),Array Size(N=100000),Array Size(N=250000),Array Size(N=500000),Array Size(N=750000),Array Size(N=1000000),Array Size(N=2500000),Array Size(N=5000000),Array Size(N=7500000),Array Size(N=10000000)
5000,20,66805,66523,67021,66891,66776,66803.2,,,66803.2,,,,,,,,,,,,,,
7500,2,87132,87196,87161,87161,87146,87159.2,,,,87159.2,,,,,,,,,,,,,
7500,3,87464,87507,87524,87465,87461,87484.2,,,,87484.2,,,,,,,,,,,,,
7500,4,87464,87507,87524,87465,87461,87484.2,,,,87484.2,,,,,,,,,,,,,
7500,5,87464,87507,87524,87465,87461,87484.2,,,,87484.2,,,,,,,,,,,,,
7500,6,88704,88829,88916,88773,88892,88822.8,,,,88822.8,,,,,,,,,,,,,
7500,7,89608,89802,89973,89818,89966,89833.4,,,,89833.4,,,,,,,,,,,,,
7500,8,89608,89802,89973,89818,89966,89833.4,,,,89833.4,,,,,,,,,,,,,
7500,9,89608,89802,89973,89818,89966,89833.4,,,,89833.4,,,,,,,,,,,,,
7500,10,89608,89802,89973,89818,89966,89833.4,,,,89833.4,,,,,,,,,,,,,
7500,11,89608,89802,89973,89818,89966,89833.4,,,,89833.4,,,,,,,,,,,,,
7500,12,89608,89802,89973,89818,89966,89833.4,,,,89833.4,,,,,,,,,,,,,
7500,13,92084,92544,92687,92295,92621,92446.2,,,,92446.2,,,,,,,,,,,,,
7500,14,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
7500,15,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
7500,16,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
7500,17,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
7500,18,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
7500,19,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
7500,20,97594,98195,97868,97957,98201,97963,,,,97963,,,,,,,,,,,,,
10000,2,120503,120412,120476,120447,120476,120462.8,,,,,120462.8,,,,,,,,,,,,
10000,3,120555,120444,120548,120494,120517,120511.6,,,,,120511.6,,,,,,,,,,,,
10000,4,121539,121460,121482,121482,121459,121484.4,,,,,121484.4,,,,,,,,,,,,
10000,5,121539,121460,121482,121482,121459,121484.4,,,,,121484.4,,,,,,,,,,,,
10000,6,121539,121460,121482,121482,121459,121484.4,,,,,121484.4,,,,,,,,,,,,
10000,7,121539,121460,121482,121482,121459,121484.4,,,,,121484.4,,,,,,,,,,,,
10000,8,122482,122545,122547,122409,122425,122481.6,,,,,122481.6,,,,,,,,,,,,
10000,9,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,10,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,11,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,12,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,13,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,14,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,15,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,16,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,17,126885,127288,126996,126706,126600,126895,,,,,126895,,,,,,,,,,,,
10000,18,134211,134195,134136,133753,133557,133970.4,,,,,133970.4,,,,,,,,,,,,
10000,19,143463,143371,143303,142847,143011,143199,,,,,143199,,,,,,,,,,,,
