Vertices (V),Edges (E),Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
2000,2979500,0.283,0.287,0.29,0.277,0.302,0.2878
2000,2999500,0.311,0.32,0.314,0.315,0.315,0.315
2000,3019500,0.319,0.324,0.313,0.338,0.324,0.3236
2000,3039500,0.336,0.318,0.325,0.313,0.314,0.3212
2000,3059500,0.309,0.322,0.336,0.327,0.328,0.3244
2000,3079500,0.327,0.333,0.336,0.329,0.329,0.3308
2000,3099500,0.33,0.334,0.322,0.334,0.327,0.3294
2000,3119500,0.332,0.334,0.33,0.35,0.326,0.3344
2000,3139500,0.332,0.333,0.329,0.329,0.33,0.3306
2000,3159500,0.332,0.338,0.417,0.374,0.367,0.3656
2000,3179500,0.381,0.352,0.357,0.356,0.363,0.3618
2000,3199500,0.357,0.358,0.368,0.386,0.351,0.364
2000,3219500,0.364,0.342,0.349,0.342,0.345,0.3484
2000,3239500,0.34,0.352,0.333,0.338,0.34,0.3406
2000,3259500,0.336,0.337,0.36,0.342,0.337,0.3424
2000,3279500,0.346,0.35,0.338,0.333,0.338,0.341
2000,3299500,0.341,0.331,0.338,0.344,0.348,0.3404
2000,3319500,0.341,0.342,0.335,0.348,0.339,0.341
2000,3339500,0.341,0.343,0.344,0.36,0.352,0.348
2000,3359500,0.348,0.362,0.347,0.347,0.361,0.353
2000,3379500,0.363,0.366,0.356,0.35,0.369,0.3608
2000,3399500,0.363,0.356,0.352,0.351,0.352,0.3548
2000,3419500,0.349,0.354,0.35,0.363,0.357,0.3546
2000,3439500,0.352,0.353,0.353,0.359,0.359,0.3552
2000,3459500,0.356,0.372,0.355,0.357,0.353,0.3586
2000,3479500,0.359,0.359,0.361,0.362,0.363,0.3608
2000,3499500,0.36,0.368,0.361,0.366,0.356,0.3622
2000,3519500,0.347,0.36,0.355,0.357,0.355,0.3548
2000,3539500,0.362,0.363,0.357,0.379,0.349,0.362
