Vertices (V),Edges (E),Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
100,9900,0,0,0,0,0,0
200,39800,0,0,0,0,0,0
300,89700,0,0,0.002,0,0.003,0.001
400,159600,0,0.001,0.005,0,0.002,0.0016
500,249500,0,0.001,0.007,0.004,0.002,0.0028
600,359400,0.001,0,0,0,0.001,0.0004
700,489300,0.008,0.007,0.006,0.001,0.01,0.0064
800,639200,0.002,0.007,0.003,0.006,0.009,0.0054
900,809100,0.009,0.003,0.012,0.006,0.013,0.0086
1000,999000,0.008,0.011,0.009,0.009,0.005,0.0084
1100,1208900,0.014,0.009,0.01,0.007,0.01,0.01
1200,1438800,0.01,0.014,0.013,0.012,0.013,0.0124
1300,1688700,0.021,0.015,0.01,0.015,0.016,0.0154
1400,1958600,0.012,0.015,0.021,0.02,0.014,0.0164
1500,2248500,0.013,0.018,0.022,0.029,0.02,0.0204
1600,2558400,0.03,0.021,0.021,0.028,0.022,0.0244
1700,2888300,0.026,0.027,0.023,0.026,0.03,0.0264
1800,3238200,0.034,0.026,0.032,0.025,0.028,0.029
1900,3608100,0.031,0.031,0.032,0.034,0.027,0.031
2000,3998000,0.039,0.035,0.036,0.035,0.034,0.0358
2100,4407900,0.036,0.04,0.04,0.041,0.034,0.0382
2200,4837800,0.043,0.042,0.043,0.045,0.042,0.043
2300,5287700,0.047,0.045,0.046,0.054,0.048,0.048
2400,5757600,0.055,0.05,0.053,0.054,0.058,0.054
2500,6247500,0.058,0.062,0.082,0.064,0.061,0.0654
2600,6757400,0.065,0.072,0.061,0.072,0.065,0.067
2700,7287300,0.075,0.065,0.065,0.069,0.069,0.0686
2800,7837200,0.084,0.071,0.076,0.075,0.081,0.0774
2900,8407100,0.119,0.086,0.085,0.073,0.078,0.0882
3000,8997000,0.074,0.088,0.078,0.081,0.095,0.0832
3100,9606900,0.094,0.092,0.094,0.091,0.101,0.0944
3200,10236800,0.105,0.095,0.096,0.101,0.141,0.1076
3300,10886700,0.109,0.106,0.11,0.112,0.095,0.1064
3400,11556600,0.108,0.107,0.109,0.132,0.12,0.1152
3500,12246500,0.138,0.12,0.164,0.132,0.105,0.1318
3600,12956400,0.111,0.119,0.113,0.115,0.111,0.1138
3700,13686300,0.133,0.141,0.123,0.155,0.121,0.1346
3800,14436200,0.128,0.16,0.128,0.129,0.13,0.135
3900,15206100,0.128,0.131,0.14,0.131,0.131,0.1322
4000,15996000,0.135,0.14,0.145,0.14,0.143,0.1406
