Vertices (V),Edges (E),Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
100,2475,0,0,0,0,0,0
200,9950,0,0,0,0,0,0
300,22425,0,0,0,0,0,0
400,39900,0,0.001,0,0,0,0.0002
500,62375,0.009,0.005,0.002,0.003,0,0.0038
600,89850,0,0,0,0,0.005,0.001
700,122325,0.005,0.006,0.003,0.005,0,0.0038
800,159800,0,0,0,0.005,0.007,0.0024
900,202275,0.009,0.01,0.01,0.003,0.011,0.0086
1000,249750,0.01,0.006,0.014,0.01,0.009,0.0098
1100,302225,0.02,0.016,0.016,0.016,0.018,0.0172
1200,359700,0.021,0.019,0.017,0.021,0.016,0.0188
1300,422175,0.028,0.025,0.02,0.022,0.02,0.023
1400,489650,0.037,0.026,0.025,0.032,0.032,0.0304
1500,562125,0.035,0.038,0.042,0.035,0.03,0.036
1600,639600,0.047,0.046,0.045,0.046,0.049,0.0466
1700,722075,0.043,0.055,0.051,0.054,0.048,0.0502
1800,809550,0.061,0.053,0.056,0.06,0.061,0.0582
1900,902025,0.075,0.07,0.069,0.064,0.071,0.0698
2000,999500,0.079,0.079,0.078,0.074,0.08,0.078
2100,1101975,0.087,0.091,0.092,0.093,0.092,0.091
2200,1209450,0.098,0.104,0.107,0.101,0.107,0.1034
2300,1321925,0.114,0.112,0.121,0.116,0.112,0.115
2400,1439400,0.123,0.133,0.127,0.13,0.122,0.127
2500,1561875,0.138,0.136,0.132,0.137,0.134,0.1354
2600,1689350,0.151,0.154,0.152,0.154,0.154,0.153
2700,1821825,0.16,0.167,0.165,0.165,0.166,0.1646
2800,1959300,0.181,0.174,0.177,0.18,0.172,0.1768
2900,2101775,0.205,0.192,0.196,0.197,0.192,0.1964
3000,2249250,0.214,0.208,0.213,0.212,0.214,0.2122
3100,2401725,0.225,0.233,0.234,0.231,0.225,0.2296
3200,2559200,0.243,0.24,0.239,0.24,0.244,0.2412
3300,2721675,0.266,0.254,0.258,0.264,0.261,0.2606
3400,2889150,0.281,0.277,0.275,0.277,0.283,0.2786
3500,3061625,0.295,0.298,0.302,0.298,0.296,0.2978
3600,3239100,0.32,0.31,0.311,0.32,0.323,0.3168
3700,3421575,0.333,0.334,0.341,0.336,0.33,0.3348
3800,3609050,0.356,0.359,0.357,0.349,0.354,0.355
3900,3801525,0.373,0.401,0.374,0.386,0.376,0.382
4000,3999000,0.39,0.4,0.409,0.406,0.415,0.404
