Vertices (V),Edges (E),Time 1,Time 2,Time 3,Time 4,Time 5,Average Time
100, 7425, 0.005000, 0.000000, 0.000000, 0.000000, 0.000000, 0.001000
200, 29850, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
300, 67275, 0.003000, 0.003000, 0.000000, 0.003000, 0.006000, 0.003000
400, 119700, 0.005000, 0.004000, 0.007000, 0.000000, 0.010000, 0.005200
500, 187125, 0.011000, 0.011000, 0.005000, 0.010000, 0.010000, 0.009400
600, 269550, 0.011000, 0.011000, 0.018000, 0.014000, 0.006000, 0.012000
700, 366975, 0.027000, 0.021000, 0.023000, 0.025000, 0.026000, 0.024400
800, 479400, 0.034000, 0.032000, 0.036000, 0.033000, 0.034000, 0.033800
900, 606825, 0.045000, 0.048000, 0.046000, 0.040000, 0.044000, 0.044600
1000, 749250, 0.067000, 0.060000, 0.063000, 0.063000, 0.059000, 0.062400
1100, 906675, 0.074000, 0.075000, 0.074000, 0.075000, 0.080000, 0.075600
1200, 1079100, 0.092000, 0.096000, 0.096000, 0.105000, 0.091000, 0.096000
1300, 1266525, 0.110000, 0.114000, 0.111000, 0.112000, 0.113000, 0.112000
1400, 1468950, 0.129000, 0.134000, 0.131000, 0.132000, 0.137000, 0.132600
1500, 1686375, 0.161000, 0.160000, 0.154000, 0.161000, 0.158000, 0.158800
1600, 1918800, 0.188000, 0.183000, 0.181000, 0.181000, 0.172000, 0.181000
1700, 2166225, 0.204000, 0.203000, 0.206000, 0.202000, 0.203000, 0.203600
1800, 2428650, 0.238000, 0.234000, 0.233000, 0.232000, 0.235000, 0.234400
1900, 2706075, 0.256000, 0.257000, 0.260000, 0.267000, 0.271000, 0.262200
2000, 2998500, 0.294000, 0.293000, 0.295000, 0.292000, 0.294000, 0.293600
2100, 3305925, 0.329000, 0.328000, 0.320000, 0.323000, 0.328000, 0.325600
2200, 3628350, 0.359000, 0.362000, 0.372000, 0.366000, 0.366000, 0.365000
2300, 3965775, 0.399000, 0.399000, 0.393000, 0.393000, 0.480000, 0.412800
2400, 4318200, 0.441000, 0.436000, 0.442000, 0.441000, 0.434000, 0.438800
2500, 4685625, 0.474000, 0.475000, 0.480000, 0.478000, 0.475000, 0.476400
2600, 5068050, 0.518000, 0.517000, 0.512000, 0.518000, 0.520000, 0.517000
2700, 5465475, 0.565000, 0.565000, 0.570000, 0.551000, 0.568000, 0.563800
2800, 5877900, 0.601000, 0.599000, 0.608000, 0.604000, 0.616000, 0.605600
2900, 6305325, 0.658000, 0.679000, 0.661000, 0.655000, 0.660000, 0.662600
3000, 6747750, 0.714000, 0.707000, 0.697000, 0.699000, 0.710000, 0.705400
3100, 7205175, 0.783000, 0.760000, 0.762000, 0.768000, 0.756000, 0.765800
3200, 7677600, 0.803000, 0.800000, 0.816000, 0.796000, 0.797000, 0.802400
3300, 8165025, 0.854000, 0.859000, 0.869000, 0.867000, 0.859000, 0.861600
3400, 8667450, 0.917000, 0.944000, 0.925000, 0.928000, 0.928000, 0.928400
3500, 9184875, 0.988000, 0.979000, 0.958000, 0.967000, 0.953000, 0.969000
3600, 9717300, 1.035000, 1.024000, 1.097000, 1.023000, 1.027000, 1.041200
3700, 10264725, 1.063000, 1.080000, 1.074000, 1.077000, 1.071000, 1.073000
3800, 10827150, 1.212000, 1.144000, 1.154000, 1.171000, 1.134000, 1.163000
3900, 11404575, 1.212000, 1.207000, 1.204000, 1.218000, 1.216000, 1.211400
4000, 11997000, 1.260000, 1.259000, 1.269000, 1.252000, 1.277000, 1.263400
